Timestamp,Angkatan,Program Studi,Jenis Kelamin,Berapa rata-rata jam tidur Anda dalam sehari (24 jam) selama seminggu terakhir? ,"Biasanya, jam berapa Anda mulai tidur malam?",Apakah Anda merasa waktu tidur Anda sudah cukup/berkualitas?,Berapa Indeks Prestasi Kumulatif (IPK) terakhir Anda?  ,Apa aktivitas utama yang membuat Anda sering begadang/kurang tidur?  ,Seberapa sering Anda merasa mengantuk atau sulit fokus saat kuliah berlangsung?  
12/1/2025 16:28:51,2024,Ekonomi,Wanita,5,22.00 - 00.00,Tidak,3.94,"Mengerjakan Tugas Kuliah / Laporan, Organisasi / Kepanitiaan",4
12/1/2025 16:28:57,2024,Ilmu Komputer,Wanita,4,00.00 - 02.00,Tidak,4,Scroll Media Sosial (TikTok/IG/Twitter),3
12/1/2025 16:29:27,2024,Ilmu Komputer,Wanita,7,00.00 - 02.00,Tidak,2.9,Scroll Media Sosial (TikTok/IG/Twitter),5
12/1/2025 16:35:15,2024,Ekonomi,Wanita,5,00.00 - 02.00,Tidak,3.78,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan",3
12/1/2025 18:59:40,2024,Ilmu Komputer,Pria,7,22.00 - 00.00,Tidak,2.9,Scroll Media Sosial (TikTok/IG/Twitter),4
12/1/2025 19:21:57,2024,Ekonomi,Wanita,7,22.00 - 00.00,Tidak,3.6,Mengerjakan Tugas Kuliah / Laporan,3
12/1/2025 21:49:53,2024,Ilmu Komputer,Pria,7,22.00 - 00.00,Ya,2.5,"Mengerjakan Tugas Kuliah / Laporan, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter), Insomnia / Susah Tidur",3
12/2/2025 0:30:15,2024,Ilmu Komputer,Pria,9,00.00 - 02.00,Ya,2.67,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Bermain Game, Insomnia / Susah Tidur",4
12/3/2025 8:39:51,2023,Ilmu Komputer,Pria,8,Sebelum jam 22.00,Ya,3.11,"Mengerjakan Tugas Kuliah / Laporan, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter)",3
12/3/2025 8:40:58,2023,Ilmu Komputer,Pria,6,22.00 - 00.00,Tidak,3.99,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan",4
12/3/2025 8:42:15,2023,Teknik Perminyakan,Wanita,4,22.00 - 00.00,Tidak,3.46,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter)",4
12/3/2025 8:52:52,2023,Manajemen,Wanita,5,22.00 - 00.00,Tidak,2.49,Mengerjakan Tugas Kuliah / Laporan,4
12/3/2025 8:54:58,2024,Ilmu Komputer,Wanita,5.5,22.00 - 00.00,Tidak,3.4,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan",3
12/3/2025 9:13:58,2023,Ilmu Komputer,Pria,8,22.00 - 00.00,Tidak,3.1,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Insomnia / Susah Tidur",4
12/3/2025 9:23:52,2023,Ilmu Komputer,Pria,6,22.00 - 00.00,Ya,3.99,Mengerjakan Tugas Kuliah / Laporan,3
12/3/2025 9:25:30,2023,Ilmu Komputer,Pria,6,00.00 - 02.00,Tidak,3.3,"Mengerjakan Tugas Kuliah / Laporan, Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter), Insomnia / Susah Tidur",4
12/3/2025 10:42:20,2023,Ilmu Komputer,Pria,6,00.00 - 02.00,Tidak,3,"Belajar Mandiri, Organisasi / Kepanitiaan, Bekerja / Freelance",3
12/3/2025 19:26:49,2023,Sains Aktuaria,Wanita,7,22.00 - 00.00,Tidak,2.63,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan",3
12/3/2025 21:23:14,2024,Ilmu Komputer,Pria,6.5,22.00 - 00.00,Tidak,3.98,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Organisasi / Kepanitiaan, Bekerja / Freelance",2
12/3/2025 23:34:55,2024,Hubungan Internasional,Pria,6,22.00 - 00.00,Tidak,3.36,Insomnia / Susah Tidur,3
12/3/2025 23:38:20,2024,Hubungan Internasional,Wanita,5,00.00 - 02.00,Tidak,3.76,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan, Insomnia / Susah Tidur",5
,,,,,,,,,
12/4/2025 0:27:14,2024,Ilmu Komputer,Pria,6,22.00 - 00.00,Tidak,3.5,"Mengerjakan Tugas Kuliah / Laporan, Organisasi / Kepanitiaan",3
12/4/2025 12:44:21,2024,Kimia,Wanita,6,22.00 - 00.00,Tidak,3.57,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter)",3
12/5/2025 20:55:49,2023,Ekonomi,Wanita,8.2,22.00 - 00.00,Ya,3.88,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Organisasi / Kepanitiaan",3
12/7/2025 21:07:40,2024,Ilmu Komputer,Wanita,5,22.00 - 00.00,Ya,3.85,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Bermain Game",4
12/7/2025 21:08:48,2024,Ilmu Komputer,Pria,5,22.00 - 00.00,Tidak,2.98,"Bermain Game, Scroll Media Sosial (TikTok/IG/Twitter)",2
12/7/2025 21:11:18,2024,Teknik Perminyakan,Pria,8,22.00 - 00.00,Ya,3.94,"Mengerjakan Tugas Kuliah / Laporan, Bermain Game, Organisasi / Kepanitiaan",2
12/7/2025 21:15:55,2024,Teknik Geologi,Wanita,6,22.00 - 00.00,Tidak,3.5,Mengerjakan Tugas Kuliah / Laporan,3
12/7/2025 21:17:06,2024,Manajemen,Wanita,7,22.00 - 00.00,Ya,3.7,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter)",3
12/7/2025 21:26:53,2023,Ilmu Komputer,Pria,7,00.00 - 02.00,Tidak,3.62,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Insomnia / Susah Tidur",3
12/7/2025 21:32:53,2022,Ilmu Komputer,Pria,5,00.00 - 02.00,Tidak,3.5,"Mengerjakan Tugas Kuliah / Laporan, Belajar Mandiri, Bekerja / Freelance",2
12/7/2025 22:53:38,2024,Teknik Geologi,Pria,6.5,22.00 - 00.00,Tidak,2.25,"Mengerjakan Tugas Kuliah / Laporan, Organisasi / Kepanitiaan",3
12/8/2025 7:11:12,2024,Ilmu Komputer,Pria,4,00.00 - 02.00,Tidak,2.67,"Scroll Media Sosial (TikTok/IG/Twitter), Insomnia / Susah Tidur",3
12/8/2025 7:44:04,2024,Ilmu Komputer,Pria,5.5,22.00 - 00.00,Tidak,3.08,"Mengerjakan Tugas Kuliah / Laporan, Scroll Media Sosial (TikTok/IG/Twitter), Bekerja / Freelance",3
